0|1|2|3
JS Pension Savings Fund||VPS-Equity|June 25, 2007|210,803
JS Pension Savings Fund||VPS-Money Market|June 25, 2007|259,476
Sub Funds Total|470,279|||
Sub Total|1,012,068|||
MCB-Arif Habib Savings and Investments Limited||||
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Debt|November 02, 2007|353,029
Sub Funds Total|353,029|||
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Equity|November 02, 2007|739,024
Alhamra Islamic Pension Fund||VPS-Shariah Compliant Money Market|November 02, 2007|287,470
Pakistan Pension Fund||VPS-Debt|June 27, 2007|494,963
Sub Funds Total|1,521,457|||
Pakistan Pension Fund||VPS-Equity|June 27, 2007|923,386
Pakistan Pension Fund||VPS-Money Market|June 27, 2007|535,414
Sub Funds Total|1,458,800|||
Sub Total|3,333,286|||
National Investment Trust Limited||||
NIT Islamic Pension Fund||VPS-Shariah Compliant Debt|June 19, 2015|120,014
Sub Funds Total|120,014|||
NIT Islamic Pension Fund||VPS-Shariah Compliant Equity|June 19, 2015|143,896
NIT Islamic Pension Fund||VPS-Shariah Compliant Money Market|June 19, 2015|119,364
NIT Pension Fund||VPS-Commodities / Gold|June 19, 2015|126,287
Sub Funds Total|389,547|||
NIT Pension Fund||VPS-Debt|June 19, 2015|131,124
NIT Pension Fund||VPS-Equity|June 19, 2015|94,819
NIT Pension Fund||VPS-Money Market|June 19, 2015|148,896
Sub Funds Total|374,839|||
Sub Total|884,400|||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)||||
NAFA Islamic Pension Fund||VPS-Shariah Compliant Debt|July 02, 2013|697,132
Sub Funds Total|697,132|||
NAFA Islamic Pension Fund||VPS-Shariah Compliant Equity|July 02, 2013|1,625,910
NAFA Islamic Pension Fund||VPS-Shariah Compliant Money Market|July 02, 2013|1,116,795
NAFA Pension Fund||VPS-Debt|July 02, 2013|584,492
Sub Funds Total|3,327,197|||
NAFA Pension Fund||VPS-Equity|July 02, 2013|1,128,442
NAFA Pension Fund||VPS-Money Market|July 02, 2013|1,354,133
Sub Funds Total|2,482,575|||
Sub Total|6,506,904|||
UBL Fund Managers Limited||||
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Debt|May 19, 2010|981,635
Sub Funds Total|981,635|||
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Equity|May 19, 2010|1,742,327
Al Ameen Islamic Retirement Savings Fund||VPS-Shariah Compliant Money Market|May 19, 2010|1,208,839
UBL Retirement Saving Fund||VPS-Commodities / Gold|April 21, 2014|15,207
Sub Funds Total|2,966,373|||
UBL Retirement Saving Fund||VPS-Debt|May 19, 2010|928,338
UBL Retirement Saving Fund||VPS-Equity|May 19, 2010|1,727,090
UBL Retirement Saving Fund||VPS-Money Market|May 19, 2010|1,179,604
Sub Funds Total|3,835,032|||
Sub Total|7,783,040|||
Grand Total|38,212,342|||
0|1|2|3
Fund Name|Category|Inception Date|July 2021 ( Rupees in '000 )
ABL Asset Management Company Limited|||
ABL Islamic Dedicated Stock Fund|Shariah Compliant Dedicated Equity|December 19, 2016|0
Al Meezan Investment Management Limited|||
Meezan Dedicated Equity Fund|Shariah Compliant Dedicated Equity|October 06, 2017|0
Alfalah GHP Investment Management Limited|||
Alfalah GHP Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|May 25, 2017|0
Atlas Asset Management Limited|||
Atlas Islamic Dedicated Stock Fund|Shariah Compliant Dedicated Equity|January 10, 2019|94,422
Sub Total|94,422||
Faysal Asset Management Limited|||
Faysal Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|January 03, 2020|-77
Sub Total|-77||
HBL Asset Management Limited|||
HBL Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|October 01, 2018|0
Sub Total|0||
JS Investments Limited|||
JS Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|March 21, 2018|77,300
Sub Total|77,300||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NBP Islamic Active Allocation Equity Fund|Shariah Compliant Dedicated Equity|January 19, 2016|0
UBL Fund Managers Limited|||
Al Ameen Islamic Dedicated Equity Fund|Shariah Compliant Dedicated Equity|December 15, 2015|2,547
UBL Dedicated Equity Fund|Dedicated Equity|May 29, 2018|30,020
Sub Total|32,567||
Grand Total|204,212||
0|1|2|3
Fund Name|Category|Inception Date|July 2021 ( Rupees in '000 )
Al Meezan Investment Management Limited|||
Meezan Pakistan ETF|Shariah Compliant Exchange Traded Fund|October 06, 2020|60,733
Sub Total|60,733||
National Investment Trust Limited|||
NIT Pakistan Gateway Exchange Traded Fund|Exchange Traded Fund|March 21, 2020|48,499
Sub Total|48,499||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NBP Pakistan Growth Exchange Traded Fund|Exchange Traded Fund|October 06, 2020|8,109
Sub Total|8,109||
UBL Fund Managers Limited|||
UBL Pakistan Enterprise Exchange Traded Fund|Exchange Traded Fund|March 24, 2020|47,458
Sub Total|47,458||
Grand Total|164,799||
0|1|2|3
Fund Name|Category|Inception Date|August 2021 ( Rupees in '000 )
ABL Asset Management Company Limited|||
ABL Cash Fund|Money Market|July 31, 2010|26,017,758
ABL Financial Planning Fund (Active Plan)|Fund of Funds|December 31, 2015|158,156
ABL Financial Planning Fund (Conservative Plan)|Fund of Funds|December 31, 2015|163,157
ABL Financial Planning Fund (Strategic Allocation Plan)|Fund of Funds|December 30, 2016|272,339
ABL Government Securities Fund|Income|November 29, 2011|800,940
ABL Income Fund|Income|September 19, 2008|15,556,084
ABL Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|May 31, 2018|3,394,358
ABL Islamic Cash Fund|Shariah Compliant Money Market|February 13, 2020|10,474,987
ABL Islamic Financial Planning Fund (Active Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|403,830
ABL Islamic Financial Planning Fund (Aggressive Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|10,392
ABL Islamic Financial Planning Fund (Capital Preservation Plan I)|Shariah Compliant Fund of Funds - CPPI|March 29, 2019|1,462,065
ABL Islamic Financial Planning Fund (Conservative Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|60,619
ABL Islamic Financial Planning Fund (Strategic Allocation Plan III)|Shariah Compliant Fund of Funds|March 03, 2017|29,483
ABL Islamic Financial Planning Fund (Strategic Allocation Plan)|Shariah Compliant Fund of Funds|March 31, 2016|182,114
ABL Islamic Income Fund (Formerly: ABL Islamic Cash Fund)|Shariah Compliant Income|July 31, 2010|3,642,334
ABL Islamic Stock Fund|Shariah Compliant Equity|June 11, 2013|3,401,882
ABL Special Saving Fund (ABL Special Saving Plan I)|Capital Protected|September 19, 2019|585,083
ABL Special Saving Fund (ABL Special Saving Plan II)|Capital Protected|September 20, 2019|668,410
ABL Special Saving Fund (ABL Special Saving Plan III)|Capital Protected|October 11, 2019|190,734
ABL Special Saving Fund (ABL Special Saving Plan IV)|Capital Protected|December 06, 2019|168,843
ABL Special Saving Fund (ABL Special Saving Plan V)|Capital Protected|February 26, 2021|4,012,316
ABL Stock Fund|Equity|June 28, 2009|6,503,377
Allied Finergy Fund|Asset Allocation|November 23, 2018|642,987
Sub Total|78,802,248||
AKD Investment Management Limited|||
AKD Aggressive Income Fund (Formerly: AKD Income Fund)|Aggressive Fixed Income|March 22, 2007|944,179
AKD Cash Fund|Money Market|January 20, 2012|708,825
AKD Index Tracker Fund|Index Tracker|October 11, 2005|483,771
AKD Islamic Income Fund|Shariah Compliant Income|February 20, 2018|840,770
AKD Islamic Stock Fund|Shariah Compliant Equity|February 20, 2018|389,378
AKD Opportunity Fund|Equity|March 31, 2006|3,527,983
Golden Arrow Stock Fund (Formerly: Golden Arrow Selected Stocks Fund)|Equity|May 09, 1983|2,394,186
Sub Total|9,289,092||
AL Habib Asset Management Limited|||
First Habib Asset Allocation Fund|Asset Allocation|November 08, 2017|131,245
First Habib Cash Fund|Money Market|March 10, 2011|19,367,658
First Habib Income Fund|Income|May 29, 2007|1,936,862
First Habib Islamic Income Fund|Shariah Compliant Income|January 23, 2017|13,542,493
First Habib Islamic Stock Fund|Shariah Compliant Equity|November 09, 2012|320,381
First Habib Stock Fund|Equity|October 08, 2009|260,312
Sub Total|35,558,951||
Al Meezan Investment Management Limited|||
Al Meezan Mutual Fund|Shariah Compliant Equity|July 13, 1995|4,328,725
KSE Meezan Index Fund|Shariah Compliant Index Tracker|May 28, 2012|2,981,107
Meezan Asset Allocation Fund|Shariah Compliant Asset Allocation|April 18, 2016|1,666,793
Meezan Balanced Fund|Shariah Compliant Balanced Fund|December 20, 2004|4,811,120
Meezan Cash Fund|Shariah Compliant Money Market|June 15, 2009|13,647,638
Meezan Daily Income Fund (MDIP I)|Shariah Compliant Income|September 13, 2021|Not Published
Meezan Energy Fund|Shariah Compliant Equity|November 30, 2016|540,450
Meezan Financial Planning Fund of Funds (Aggressive)|Shariah Compliant Fund of Funds|April 12, 2013|353,417
Meezan Financial Planning Fund of Funds (Conservative)|Shariah Compliant Fund of Funds|April 12, 2013|241,562
Meezan Financial Planning Fund of Funds (MAAP I)|Shariah Compliant Fund of Funds|July 09, 2015|168,224
Meezan Financial Planning Fund of Funds (Moderate)|Shariah Compliant Fund of Funds|April 12, 2013|173,115
Meezan Gold Fund|Shariah Compliant Commodities|August 13, 2015|500,792
Meezan Islamic Fund|Shariah Compliant Equity|August 08, 2003|34,233,265
Meezan Islamic Income Fund|Shariah Compliant Income|January 15, 2007|30,128,066
Meezan Rozana Amdani Fund|Shariah Compliant Money Market|December 28, 2018|51,468,554
Meezan Sovereign Fund|Shariah Compliant Income|February 10, 2010|10,045,793
Meezan Strategic Allocation Fund (Meezan Capital Preservation Plan III)|Shariah Compliant Fund of Funds - CPPI|December 19, 2017|265,476
Meezan Strategic Allocation Fund (MSAP I)|Shariah Compliant Fund of Funds|October 19, 2016|663,522
Meezan Strategic Allocation Fund (MSAP II)|Shariah Compliant Fund of Funds|December 22, 2016|433,567
Meezan Strategic Allocation Fund (MSAP III)|Shariah Compliant Fund of Funds|February 20, 2017|510,881
Meezan Strategic Allocation Fund (MSAP IV)|Shariah Compliant Fund of Funds|April 24, 2017|182,553
Meezan Strategic Allocation Fund (MSAP V)|Shariah Compliant Fund of Funds|August 17, 2017|64,884
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|March 05, 2018|774,951
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|May 04, 2018|92,613
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VI)|Shariah Compliant Fund of Funds - CPPI|July 10, 2018|88,711
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VII)|Shariah Compliant Fund of Funds - CPPI|September 26, 2018|104,028
Meezan Strategic Allocation Fund III (Meezan Capital Preservation Plan IX)|Shariah Compliant Fund of Funds - CPPI|May 14, 2019|98,330
Sub Total|158,568,137||
Alfalah GHP Investment Management Limited|||
Alfalah GHP Alpha Fund|Equity|September 09, 2008|877,222
Alfalah GHP Cash Fund|Money Market|March 13, 2010|6,132,594
Alfalah GHP Income Fund|Income|April 14, 2007|2,310,948
Alfalah GHP Income Multiplier Fund|Aggressive Fixed Income|June 15, 2007|56,955
Alfalah GHP Islamic Income Fund|Shariah Compliant Income|December 03, 2009|5,639,972
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II)|Shariah Compliant Fund of Funds|November 01, 2016|403,366
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan III)|Shariah Compliant Fund of Funds|June 24, 2017|75,557
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan)|Shariah Compliant Fund of Funds|June 11, 2016|218,250
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan)|Shariah Compliant Fund of Funds|June 11, 2016|69,413
Alfalah GHP Islamic Prosperity Planning Fund (Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|July 13, 2018|52,362
Alfalah GHP Islamic Prosperity Planning Fund (Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|December 17, 2018|25,921
Alfalah GHP Islamic Stock Fund|Shariah Compliant Equity|September 03, 2007|2,426,062
Alfalah GHP Islamic Value Fund|Shariah Compliant Asset Allocation|October 12, 2017|2,319,136
Alfalah GHP Money Market Fund|Money Market|May 27, 2010|25,231,991
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan)|Fund of Funds|September 12, 2015|184,785
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan)|Fund of Funds|September 12, 2015|197,161
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan)|Fund of Funds|September 12, 2015|178,860
Alfalah GHP Sovereign Fund|Income|May 10, 2014|861,141
Alfalah GHP Stock Fund|Equity|July 15, 2008|2,309,868
Alfalah GHP Value Fund|Asset Allocation|October 28, 2005|616,066
Alfalah Islamic Rozana Amdani Fund|Shariah Compliant Money Market|September 21, 2020|4,922,610
Sub Total|55,110,240||
Atlas Asset Management Limited|||
Atlas Income Fund|Income|March 22, 2004|5,401,788
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|135,947
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|142,963
Atlas Islamic Fund of Funds (Atlas Islamic Capital Preservation Plan II)|Shariah Compliant Fund of Funds - CPPI|August 31, 2021|467,959
Atlas Islamic Fund of Funds (Atlas Islamic Dividend Plan)|Shariah Compliant Fund of Funds - Income|March 16, 2020|27,585
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|138,963
Atlas Islamic Income Fund|Shariah Compliant Income|October 14, 2008|2,134,309
Atlas Islamic Money Market Fund|Shariah Compliant Money Market|January 07, 2021|869,526
Atlas Islamic Stock Fund|Shariah Compliant Equity|January 15, 2007|2,944,009
Atlas Money Market Fund|Money Market|January 21, 2010|24,374,623
Atlas Sovereign Fund|Income|December 01, 2014|2,509,162
Atlas Stock Market Fund|Equity|November 23, 2004|10,614,319
Sub Total|49,761,153||
AWT Investments Limited (Formerly: Primus Investment Management  Limited)|||
AWT Income Fund|Income|August 08, 2012|1,551,391
AWT Islamic Income Fund|Shariah Compliant Income|March 04, 2014|165,839
AWT Islamic Stock Fund|Shariah Compliant Equity|March 04, 2014|101,982
AWT Money Market Fund|Money Market|April 12, 2016|5,750
AWT Stock Fund|Equity|March 13, 2015|103,984
Sub Total|1,928,945||
786 Investments Limited (Formerly: Dawood Capital Management Limited)|||
786 Smart Fund (Formerly: Dawood Income Fund)|Shariah Compliant Income|May 20, 2003|866,872
Sub Total|866,872||
BMA Asset Management Company Limited (BMA Funds)|||
BMA Chundrigar Road Savings Fund|Aggressive Fixed Income|August 23, 2007|120,567
BMA Empress Cash Fund|Money Market|November 10, 2009|311,515
Sub Total|432,081||
Faysal Asset Management Limited|||
Faysal Asset Allocation Fund|Asset Allocation|July 24, 2006|372,786
Faysal Cash Fund|Money Market|December 22, 2020|248,447
Faysal Financial Planning Fund (Faysal Active Principal Preservation Plan)|Fund of Funds - CPPI|December 19, 2019|566,221
Faysal Financial Sector Opportunity Fund|Income|July 05, 2013|621,117
Faysal Financial Value Fund|Asset Allocation|December 30, 2019|1,938,732
Faysal Government Securities Fund|Income|March 16, 2020|1,373,747
Faysal Halal Amdani Fund|Shariah Compliant Money Market|October 10, 2019|12,089,589
Faysal Income & Growth Fund|Aggressive Fixed Income|October 10, 2005|1,015,444
Faysal Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|September 09, 2015|2,751,378
Faysal Islamic Cash Fund|Shariah Compliant Money Market|August 11, 2020|12,025,659
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan III)|Shariah Compliant Fund of Funds - CPPI|March 30, 2020|1,264,875
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|July 24, 2020|435,161
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|October 15, 2020|1,005,023
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VI)|Shariah Compliant Fund of Funds - CPPI|December 29, 2020|1,474,643
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VII)|Shariah Compliant Fund of Funds - CPPI|April 16, 2021|3,064,372
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VIII)|Shariah Compliant Fund of Funds - CPPI|April 15, 2021|3,783,604
Faysal Islamic Savings Growth Fund|Shariah Compliant Income|June 16, 2010|3,862,992
Faysal Islamic Stock Fund|Shariah Compliant Equity|July 24, 2020|775,448
Faysal Money Market Fund|Money Market|December 13, 2010|7,989,772
Faysal MTS Fund|Income|April 11, 2016|4,823,044
Faysal Savings Growth Fund|Income|May 11, 2007|2,715,653
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan II)|Shariah Compliant Fund of Funds - CPPI|September 27, 2019|912,931
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan)|Shariah Compliant Fund of Funds - CPPI|July 09, 2019|135,952
Faysal Stock Fund|Equity|April 19, 2004|2,955,154
Sub Total|68,201,743||
First Capital Investments Limited|||
First Capital Mutual Fund|Equity|May 24, 1995|127,867
Sub Total|127,867||
HBL Asset Management Limited|||
HBL Cash Fund|Money Market|December 13, 2010|31,715,968
HBL Energy Fund|Equity|January 20, 2006|745,546
HBL Equity Fund|Equity|September 26, 2011|2,093,815
HBL Financial Planning Fund (Active Allocation Plan)|Fund of Funds|October 11, 2017|46,857
HBL Financial Planning Fund (Conservative Allocation Plan)|Fund of Funds|October 11, 2017|53,179
HBL Financial Planning Fund (Special Income Plan)|Fund of Funds|September 16, 2019|78,157
HBL Government Securities Fund|Income|July 24, 2010|1,225,795
HBL Growth Fund−Class A   (Formerly PICIC Growth Fund)|Equity|July 02, 2018|6,678,493
HBL Income Fund|Income|February 19, 2007|2,978,607
HBL Investment Fund−Class A (Formerly PICIC Investment Fund)|Equity|July 02, 2018|2,413,461
HBL Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|January 11, 2016|408,882
HBL Islamic Asset Allocation Fund Plan I|Shariah Compliant Asset Allocation|July 14, 2020|2,610,943
HBL Islamic Equity Fund|Shariah Compliant Equity|May 29, 2014|551,203
HBL Islamic Financial Planning Fund (Active Allocation Plan)|Shariah Compliant Fund of Funds|June 19, 2017|52,417
HBL Islamic Financial Planning Fund (Conservative Allocation Plan)|Shariah Compliant Fund of Funds|June 19, 2017|52,004
HBL Islamic Income Fund|Shariah Compliant Income|May 29, 2014|1,143,962
HBL Islamic Money Market Fund|Shariah Compliant Money Market|May 09, 2011|7,595,605
HBL Islamic Stock Fund|Shariah Compliant Equity|May 09, 2011|735,575
HBL Money Market Fund|Money Market|July 15, 2010|11,962,170
HBL Multi Asset Fund|Balanced|November 08, 2007|205,188
HBL Stock Fund|Equity|August 23, 2007|965,970
Sub Total|74,313,797||
JS Investments Limited|||
JS Cash Fund|Money Market|March 29, 2010|10,907,774
JS Fund of Funds|Fund of Funds|October 31, 2005|265,299
JS Growth Fund|Equity|June 06, 2006|1,868,852
JS Income Fund|Income|August 26, 2002|1,757,412
JS Islamic  Hybrid Fund of Funds (JS Islamic Capital Preservation Allocation Plan VIII)|Shariah Compliant Fund of Funds - CPPI|December 27, 2019|408,381
JS Islamic  Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan VI)|Shariah Compliant Fund of Funds - CPPI|April 25, 2019|364,140
JS Islamic Daily Dividend Fund|Shariah Compliant Money Market|September 03, 2020|106,147
JS Islamic Fund|Shariah Compliant Equity|December 27, 2002|477,022
JS Islamic Hybrid Fund of Funds (Mufeed)|Shariah Compliant Fund of Funds|June 07, 2017|4,158
JS Islamic Hybrid Fund of Funds (Mustahkem)|Shariah Compliant Fund of Funds|June 07, 2017|303
JS Islamic Hybrid Fund of Funds (Mutanasib)|Shariah Compliant Fund of Funds|June 07, 2017|10,807
JS Islamic Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan IX)|Shariah Compliant Fund of Funds - CPPI|February 17, 2020|105,859
JS Islamic Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan VII)|Shariah Compliant Fund of Funds - CPPI|July 15, 2019|329,774
JS Islamic Income Fund|Shariah Compliant Income|June 05, 2013|2,880,830
JS Large Cap Fund|Equity|May 15, 2004|493,581
JS Value Fund|Equity|January 14, 1996|853,538
Unit Trust of Pakistan|Balanced|October 27, 1997|1,093,382
Sub Total|21,927,259||
Lakson Investments Limited|||
Lakson Asset Allocation Developed Markets Fund|Asset Allocation|October 10, 2011|1,059,517
Lakson Equity Fund|Equity|November 13, 2009|3,273,391
Lakson Income Fund|Income|November 13, 2009|4,556,567
Lakson Islamic Tactical Fund|Shariah Compliant Asset Allocation|October 10, 2011|492,612
Lakson Money Market Fund|Money Market|November 13, 2009|13,788,181
Lakson Tactical Fund|Asset Allocation|October 10, 2011|639,184
Sub Total|23,809,452||
MCB-Arif Habib Savings and Investments Limited|||
Alhamra Daily Dividend Fund|Shariah Compliant Income|April 10, 2018|1,525,863
Alhamra Islamic Active Allocation Fund (Alhamra Smart Portfolio)|Shariah Compliant Fund of Funds|June 11, 2021|196,298
Alhamra Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|April 22, 2006|2,378,965
Alhamra Islamic Income Fund|Shariah Compliant Income|June 19, 2011|7,569,449
Alhamra Islamic Money Market Fund (Formerly: MCB Pakistan Frequent Payout Fund)|Shariah Compliant Money Market|August 20, 2020|17,203,180
Alhamra Islamic Stock Fund|Shariah Compliant Equity|August 25, 2004|3,887,538
MCB Cash Management Optimizer|Money Market|October 01, 2009|28,115,230
MCB DCF Income Fund|Income|January 03, 2007|4,165,489
MCB Pakistan Asset Allocation Fund|Asset Allocation|March 17, 2008|1,024,526
MCB Pakistan Sovereign Fund|Income|March 01, 2003|774,795
MCB Pakistan Stock Market Fund|Equity|March 11, 2002|12,717,896
Pakistan Capital Market Fund|Balanced|January 24, 2004|465,768
Pakistan Cash Management Fund|Money Market|March 19, 2008|3,089,608
Pakistan Income Enhancement Fund|Aggressive Fixed Income|August 28, 2008|801,590
Pakistan Income Fund|Income|March 11, 2002|11,163,538
Sub Total|95,079,733||
National Investment Trust Limited|||
National Investment Unit Trust|Equity|November 12, 1962|63,089,572
NIT Asset Allocation Fund|Asset Allocation|April 09, 2020|668,598
NIT − Government Bond Fund|Income|November 18, 2009|3,383,500
NIT − Income Fund|Income|February 19, 2010|4,110,776
NIT Islamic Equity Fund|Shariah Compliant Equity|May 18, 2015|3,310,260
NIT Islamic Income Fund|Shariah Compliant Income|July 04, 2016|936,243
NIT Islamic Money Market Fund|Shariah Compliant Money Market|September 21, 2021|Not Published
NIT Money Market Fund (Formerly: NIT Government Treasury Fund)|Money Market|January 22, 2016|8,974,741
Sub Total|84,473,690||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NAFA Islamic Active Allocation Plan I|Shariah Compliant Fund of Funds|January 18, 2016|24,225
NAFA Islamic Active Allocation Plan II|Shariah Compliant Fund of Funds|March 07, 2016|31,008
NAFA Islamic Active Allocation Plan III|Shariah Compliant Fund of Funds|June 29, 2016|146,963
NAFA Islamic Active Allocation Plan IV|Shariah Compliant Fund of Funds|October 01, 2016|150,396
NAFA Islamic Active Allocation Plan V|Shariah Compliant Fund of Funds|January 13, 2017|82,455
NAFA Islamic Active Allocation Plan VI|Shariah Compliant Fund of Funds|May 27, 2017|50,442
NAFA Islamic Active Allocation Plan VII|Shariah Compliant Fund of Funds|June 30, 2017|29,677
NAFA Islamic Active Allocation Plan VIII|Shariah Compliant Fund of Funds|November 03, 2017|56,390
NAFA Islamic Capital Preservation Plan I|Shariah Compliant Fund of Funds - CPPI|February 28, 2018|105,892
NAFA Islamic Capital Preservation Plan II|Shariah Compliant Fund of Funds - CPPI|April 27, 2018|85,468
NAFA Islamic Capital Preservation Plan III|Shariah Compliant Fund of Funds - CPPI|June 22, 2018|79,315
NAFA Islamic Capital Preservation Plan IV|Shariah Compliant Fund of Funds - CPPI|September 14, 2018|47,858
NBP Active Allocation Riba Free Savings Fund|Shariah Compliant Income|January 19, 2016|0
NBP Balanced Fund|Balanced|January 22, 2007|1,645,524
NBP Financial Sector Fund|Equity|February 14, 2018|441,639
NBP Financial Sector Income Fund|Income|October 28, 2011|44,743,982
NBP Government Securities Liquid Fund|Money Market|May 16, 2009|932,065
NBP Government Securities Savings Fund|Income|July 03, 2014|197,666
NBP Income Opportunity Fund|Income|April 22, 2006|11,811,398
NBP Islamic Capital Preservation Plan V|Shariah Compliant Fund of Funds - CPPI|December 18, 2018|53,183
NBP Islamic Daily Dividend Fund|Shariah Compliant Money Market|November 01, 2019|13,831,201
NBP Islamic Energy Fund|Shariah Compliant Equity|April 21, 2016|854,906
NBP Islamic Income Fund|Shariah Compliant Income|August 14, 2020|4,313,200
NBP Islamic Mahana Amdani Fund|Shariah Compliant Income|October 08, 2018|13,389,523
NBP Islamic Money Market Fund|Shariah Compliant Money Market|February 28, 2018|4,305,481
NBP Islamic Regular Income Fund|Shariah Compliant Asset Allocation|November 01, 2018|141,575
NBP Islamic Sarmaya Izafa Fund|Shariah Compliant Asset Allocation|October 29, 2007|5,477,282
NBP Islamic Savings Fund|Shariah Compliant Income|October 29, 2007|2,135,085
NBP Islamic Stock Fund|Shariah Compliant Equity|January 12, 2015|7,946,492
NBP Mahana Amdani Fund|Income|November 21, 2009|5,472,292
NBP Money Market Fund|Money Market|February 24, 2012|24,719,427
NBP Riba Free Savings Fund|Shariah Compliant Income|August 20, 2010|3,957,241
NBP Sarmaya Izafa Fund|Asset Allocation|August 20, 2010|1,326,588
NBP Savings Fund|Income|March 29, 2008|1,528,242
NBP Stock Fund|Equity|January 22, 2007|20,936,929
Sub Total|171,051,010||
Pak Oman Asset Management Company Limited|||
Askari Asset Allocation Fund|Asset Allocation|September 13, 2007|111,772
Askari High Yield Scheme|Aggressive Fixed Income|March 16, 2006|1,790,621
Askari Sovereign Cash Fund|Money Market|September 30, 2009|2,151,615
Askari Sovereign Yield Enhancer|Income|May 07, 2012|418,175
Pak Oman Advantage Asset Allocation Fund|Asset Allocation|October 30, 2008|98,930
Pak Oman Advantage Islamic Income Fund|Shariah Compliant Income|October 28, 2008|1,269,469
Pak Oman Government Securities Fund|Income|July 28, 2011|161,330
Pak Oman Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|October 28, 2008|192,671
Sub Total|6,194,581||
UBL Fund Managers Limited|||
Al Ameen Islamic Active Allocation Plan XI|Shariah Compliant Fund of Funds|April 05, 2019|98,306
Al Ameen Islamic Active Principal Preservation Plan IV|Shariah Compliant Fund of Funds - CPPI|December 18, 2018|101,296
Al Ameen Islamic Aggressive Income Fund|Shariah Compliant Aggressive Fixed Income|October 20, 2007|328,262
Al Ameen Islamic Aggressive Income Plan I|Shariah Compliant Aggressive Fixed Income|April 16, 2020|2,654,686
Al Ameen Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|December 11, 2013|2,650,833
Al Ameen Islamic Cash Fund|Shariah Compliant Money Market|September 19, 2012|5,828,288
Al Ameen Islamic Cash Plan I|Shariah Compliant Money Market|May 29, 2020|18,471,116
